setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2024-08-29,2024-08-30,A17U.SI,CapLand Ascendas REIT,2.7167,2.6979,2.6979,2.7167,2.7167,2.7167,2.7167,1,0.0,0.7,-0.1,Contracting,0.5,0.14,1,1,0.48
2024-08-30,2024-09-02,A17U.SI,CapLand Ascendas REIT,2.7167,2.7167,2.7167,2.7262,2.7167,2.7167,2.7167,0,0.0,0.7,0.0,Flat,1.0,0.14,1,1,0.54
2024-09-06,2024-09-09,A17U.SI,CapLand Ascendas REIT,2.7545,2.745,2.7356,2.7639,2.7262,2.7545,2.7262,0,-0.010274,0.4,0.0,Flat,0.8333,0.14,1,0,0.78
2024-09-10,2024-09-11,A17U.SI,CapLand Ascendas REIT,2.7545,2.7356,2.7356,2.7639,2.745,2.7545,2.745,0,-0.003425,0.4,0.1,Expanding,0.5,0.14,0,0,0.28
2024-09-12,2024-09-13,A17U.SI,CapLand Ascendas REIT,2.7545,2.745,2.7545,2.7639,2.745,2.7545,2.745,0,-0.003425,0.5,0.0,Flat,0.6667,0.14,0,0,0.36
2024-09-13,2024-09-16,A17U.SI,CapLand Ascendas REIT,2.7639,2.745,2.745,2.7733,2.7733,2.7639,2.7733,1,0.003413,0.4,-0.1,Contracting,0.5,0.14,0,0,0.38
2024-09-18,2024-09-19,A17U.SI,CapLand Ascendas REIT,2.7828,2.745,2.7639,2.7922,2.7922,2.7828,2.7922,1,0.00339,0.6,0.0,Flat,0.3333,0.16,0,1,0.76
2024-09-23,2024-09-24,A17U.SI,CapLand Ascendas REIT,2.7167,2.6884,2.6979,2.7545,2.7167,2.7167,2.7167,1,0.0,0.5,0.0,Flat,0.4,0.16,0,0,0.78
2024-09-25,2024-09-26,A17U.SI,CapLand Ascendas REIT,2.7262,2.6884,2.7073,2.745,2.7167,2.7262,2.7167,0,-0.00346,0.4,-0.1,Contracting,0.0,0.16,0,0,0.32
2024-09-30,2024-10-01,A17U.SI,CapLand Ascendas REIT,2.7262,2.6979,2.7073,2.745,2.7356,2.7262,2.7356,1,0.00346,0.4,-0.1,Contracting,0.25,0.32,0,1,0.6
2024-10-02,2024-10-03,A17U.SI,CapLand Ascendas REIT,2.745,2.7262,2.7073,2.7545,2.7356,2.745,2.7356,0,-0.003436,0.4,0.0,Flat,0.6,0.32,0,1,0.54
2024-10-08,2024-10-09,A17U.SI,CapLand Ascendas REIT,2.6696,2.6413,2.6507,2.679,2.6601,2.6696,2.6601,0,-0.003533,0.3,-0.1,Contracting,0.25,0.52,0,1,0.38
2024-10-15,2024-10-16,A17U.SI,CapLand Ascendas REIT,2.6413,2.613,2.6035,2.6507,2.6224,2.6413,2.6224,0,-0.007143,0.2,-0.1,Contracting,0.25,0.52,0,0,0.42
2024-10-16,2024-10-17,A17U.SI,CapLand Ascendas REIT,2.6507,2.6224,2.6318,2.6601,2.6507,2.6507,2.6507,0,-0.0,0.3,0.1,Expanding,0.5,0.52,0,0,0.74
2024-10-17,2024-10-18,A17U.SI,CapLand Ascendas REIT,2.6601,2.6507,2.6413,2.6696,2.6507,2.6601,2.6507,0,-0.003546,0.3,0.0,Flat,0.75,0.52,1,0,0.16
2024-10-22,2024-10-23,A17U.SI,CapLand Ascendas REIT,2.6224,2.6035,2.6035,2.6318,2.6035,2.6224,2.6035,0,-0.007194,0.3,0.0,Flat,0.0,0.52,0,0,0.1
2024-11-01,2024-11-04,A17U.SI,CapLand Ascendas REIT,2.5375,2.5186,2.5281,2.5564,2.5469,2.5375,2.5469,1,0.003717,0.0,-0.1,Contracting,0.5,0.52,0,0,0.74
2024-11-04,2024-11-05,A17U.SI,CapLand Ascendas REIT,2.5564,2.5469,2.5469,2.5564,2.5375,2.5564,2.5375,0,-0.00738,0.1,0.1,Expanding,0.8,0.52,1,0,0.7
2024-11-07,2024-11-08,A17U.SI,CapLand Ascendas REIT,2.5092,2.4526,2.4809,2.5092,2.462,2.5092,2.462,0,-0.018797,0.1,0.0,Flat,0.25,0.52,0,0,0.98
2024-11-12,2024-11-13,A17U.SI,CapLand Ascendas REIT,2.4809,2.4715,2.462,2.4809,2.462,2.4809,2.462,0,-0.007605,0.3,0.1,Expanding,0.6667,0.52,0,0,0.22
2024-11-14,2024-11-15,A17U.SI,CapLand Ascendas REIT,2.4715,2.4715,2.462,2.4715,2.4243,2.4715,2.4243,0,-0.019084,0.4,0.1,Expanding,1.0,0.52,0,0,0.28
2024-11-22,2024-11-25,A17U.SI,CapLand Ascendas REIT,2.4243,2.4149,2.4149,2.4809,2.4432,2.4243,2.4432,1,0.007782,0.4,0.0,Flat,0.5,0.52,1,0,0.08
2024-11-27,2024-11-28,A17U.SI,CapLand Ascendas REIT,2.4715,2.4526,2.4526,2.4903,2.4903,2.4715,2.4903,1,0.007634,0.5,0.0,Flat,0.5,0.88,0,1,0.16
2024-12-11,2024-12-12,A17U.SI,CapLand Ascendas REIT,2.4243,2.4149,2.4243,2.4432,2.4149,2.4243,2.4149,0,-0.003891,0.1,0.0,Flat,0.5,0.22,0,1,0.12
2024-12-16,2024-12-17,A17U.SI,CapLand Ascendas REIT,2.4149,2.4055,2.4149,2.4243,2.4055,2.4149,2.4055,0,-0.003906,0.0,0.0,Flat,0.0,0.22,0,0,0.02
